method,subspace_error,explained_variance,reconstruction_error,memory_bytes,runtime_seconds,bits,eta_schedule,k,sketch_size,error_feedback
oja_fp,0.9401872494441971,0.08564984485538368,2.704850314492525,2800,0.5170905590057373,,invsqrt,5,,False
oja_quant_b4,0.9382856787076761,0.08505307957755705,2.7066156783854773,4800,0.8200738430023193,4,invsqrt,5,,True
oja_quant_b6,0.9383049570986666,0.08500422122753767,2.7067602122084025,4800,0.8062498569488525,6,invsqrt,5,,True
oja_quant_b8,0.9382918765291464,0.08499683444021193,2.706782063961704,4800,0.8037219047546387,8,invsqrt,5,,True
sketch_fd,0.9401747486698093,0.08474525570842623,2.707526289582448,8400,1.8381562232971191,,,5,20,False
