t,method,metric,value
17500,oja_fp,reconstruction_error,2.7062730030094397
18000,oja_fp,reconstruction_error,2.709406743420126
18500,oja_fp,reconstruction_error,2.7037533014085064
19000,oja_fp,reconstruction_error,2.699189812111997
19500,oja_fp,reconstruction_error,2.7043580066021566
20000,oja_fp,reconstruction_error,2.704850314492525
500,oja_quant_b4,subspace_error,0.9399952669148165
1000,oja_quant_b4,subspace_error,0.9443375433750747
1500,oja_quant_b4,subspace_error,0.9439232549706851
2000,oja_quant_b4,subspace_error,0.9431716732552582
2500,oja_quant_b4,subspace_error,0.9420109423756464
3000,oja_quant_b4,subspace_error,0.9409032062642678
3500,oja_quant_b4,subspace_error,0.9404526978344631
4000,oja_quant_b4,subspace_error,0.9425425555379542
4500,oja_quant_b4,subspace_error,0.9395247587141327
5000,oja_quant_b4,subspace_error,0.940258315452119
5500,oja_quant_b4,subspace_error,0.9415355720171366
6000,oja_quant_b4,subspace_error,0.9404697293982676
6500,oja_quant_b4,subspace_error,0.9402158028899278
7000,oja_quant_b4,subspace_error,0.9392149526862589
7500,oja_quant_b4,subspace_error,0.9386976044777562
8000,oja_quant_b4,subspace_error,0.9394647367431762
8500,oja_quant_b4,subspace_error,0.9396840668505829
9000,oja_quant_b4,subspace_error,0.940420607591127
9500,oja_quant_b4,subspace_error,0.9405418403730238
10000,oja_quant_b4,subspace_error,0.9407978157863562
10500,oja_quant_b4,subspace_error,0.9393000412524302
11000,oja_quant_b4,subspace_error,0.9412762984536449
11500,oja_quant_b4,subspace_error,0.9406144680116542
12000,oja_quant_b4,subspace_error,0.9416449462617752
12500,oja_quant_b4,subspace_error,0.9389164585425327
13000,oja_quant_b4,subspace_error,0.9398490857925564
13500,oja_quant_b4,subspace_error,0.9413120781859187
14000,oja_quant_b4,subspace_error,0.9402334871429542
14500,oja_quant_b4,subspace_error,0.9397073149239846
15000,oja_quant_b4,subspace_error,0.9407823973714506
15500,oja_quant_b4,subspace_error,0.9400825754761797
16000,oja_quant_b4,subspace_error,0.9406118118640213
16500,oja_quant_b4,subspace_error,0.9409385205831253
17000,oja_quant_b4,subspace_error,0.9410342457866193
17500,oja_quant_b4,subspace_error,0.9399373993996077
18000,oja_quant_b4,subspace_error,0.9407873311097411
18500,oja_quant_b4,subspace_error,0.9401864792382891
19000,oja_quant_b4,subspace_error,0.9409122482309172
19500,oja_quant_b4,subspace_error,0.9397809226357561
20000,oja_quant_b4,subspace_error,0.9382856787076761
500,oja_quant_b4,explained_variance,0.08210051786587111
1000,oja_quant_b4,explained_variance,0.08452760933705179
1500,oja_quant_b4,explained_variance,0.08370237955605271
2000,oja_quant_b4,explained_variance,0.08258625790605562
2500,oja_quant_b4,explained_variance,0.08578560456014572
3000,oja_quant_b4,explained_variance,0.08356579777827704
3500,oja_quant_b4,explained_variance,0.0848015227222902
4000,oja_quant_b4,explained_variance,0.08615727725898684
4500,oja_quant_b4,explained_variance,0.08335625054121262
5000,oja_quant_b4,explained_variance,0.08398129591126696
5500,oja_quant_b4,explained_variance,0.08430664604117283
6000,oja_quant_b4,explained_variance,0.08505913929280884
6500,oja_quant_b4,explained_variance,0.08595955979302826
7000,oja_quant_b4,explained_variance,0.08510661853459313
7500,oja_quant_b4,explained_variance,0.08644271841929459
8000,oja_quant_b4,explained_variance,0.08592453429816409
8500,oja_quant_b4,explained_variance,0.08341527609479643
9000,oja_quant_b4,explained_variance,0.08322087977960438
9500,oja_quant_b4,explained_variance,0.08472729020584421
10000,oja_quant_b4,explained_variance,0.08432626710859183
10500,oja_quant_b4,explained_variance,0.08235591987128218
11000,oja_quant_b4,explained_variance,0.0848311359625828
11500,oja_quant_b4,explained_variance,0.08474284761100223
12000,oja_quant_b4,explained_variance,0.08617877404030393
12500,oja_quant_b4,explained_variance,0.0840086113617758
13000,oja_quant_b4,explained_variance,0.08557244109558881
13500,oja_quant_b4,explained_variance,0.08474226321902896
14000,oja_quant_b4,explained_variance,0.0845248713732074
14500,oja_quant_b4,explained_variance,0.08482833385196353
15000,oja_quant_b4,explained_variance,0.08464287911655981
15500,oja_quant_b4,explained_variance,0.08573294023868826
16000,oja_quant_b4,explained_variance,0.08471599614842384
16500,oja_quant_b4,explained_variance,0.08510965483957973
17000,oja_quant_b4,explained_variance,0.08380849398470874
