timestamp,t,method,subspace_error,explained_variance,reconstruction_error,memory_bytes,bits,eta_schedule
2026-01-17T09:16:30.367152,200,oja_quant_b8,0.9308555286755718,0.08785637421781209,2.6983229118270136,4800,8,invsqrt
2026-01-17T09:16:30.390489,400,oja_quant_b8,0.9380333726694123,0.08938902129430605,2.693789002248134,4800,8,invsqrt
2026-01-17T09:16:30.413984,600,oja_quant_b8,0.9374515958359195,0.08677414846812552,2.7015243753395657,4800,8,invsqrt
2026-01-17T09:16:30.437242,800,oja_quant_b8,0.9382539838113114,0.0851919335268974,2.706204917643076,4800,8,invsqrt
2026-01-17T09:16:30.460222,1000,oja_quant_b8,0.9394363379655475,0.0871088214590821,2.700534338492361,4800,8,invsqrt
2026-01-17T09:16:30.483359,1200,oja_quant_b8,0.9401751884612903,0.08566553497772364,2.704803899634818,4800,8,invsqrt
2026-01-17T09:16:30.506719,1400,oja_quant_b8,0.9397691855899926,0.08386962431490888,2.7101166012226976,4800,8,invsqrt
2026-01-17T09:16:30.529643,1600,oja_quant_b8,0.9373066139068296,0.08424207790867493,2.709014800982862,4800,8,invsqrt
2026-01-17T09:16:30.552583,1800,oja_quant_b8,0.9419581640708785,0.08296535361036132,2.712791634289428,4800,8,invsqrt
2026-01-17T09:16:30.575477,2000,oja_quant_b8,0.9413237939328944,0.08379497411936998,2.7103374330383256,4800,8,invsqrt
2026-01-17T09:16:30.598478,2200,oja_quant_b8,0.9410357152715717,0.08235183727783256,2.714606551513042,4800,8,invsqrt
2026-01-17T09:16:30.621539,2400,oja_quant_b8,0.940614295364248,0.08532173575213883,2.705820933905784,4800,8,invsqrt
2026-01-17T09:16:30.646216,2600,oja_quant_b8,0.9408489607798964,0.08562544421331943,2.704922496997214,4800,8,invsqrt
2026-01-17T09:16:30.669007,2800,oja_quant_b8,0.9414765527244866,0.08417417805788807,2.7092156637833127,4800,8,invsqrt
2026-01-17T09:16:30.691824,3000,oja_quant_b8,0.9410446884061437,0.08462678385831994,2.707876755560078,4800,8,invsqrt
2026-01-17T09:16:30.714685,3200,oja_quant_b8,0.9413287478388519,0.08310867410403945,2.712367660519404,4800,8,invsqrt
2026-01-17T09:16:30.737627,3400,oja_quant_b8,0.9421805308119151,0.08361924079211744,2.710857291150463,4800,8,invsqrt
2026-01-17T09:16:30.760633,3600,oja_quant_b8,0.9401371946711622,0.08459348024866582,2.707975275015168,4800,8,invsqrt
2026-01-17T09:16:30.783252,3800,oja_quant_b8,0.9414964345714548,0.08260854172966528,2.7138471628769008,4800,8,invsqrt
2026-01-17T09:16:30.807820,4000,oja_quant_b8,0.9411425984677715,0.08563645192081192,2.704889933759919,4800,8,invsqrt
2026-01-17T09:16:30.830831,4200,oja_quant_b8,0.9411086275699644,0.08368846464968316,2.710652511644654,4800,8,invsqrt
2026-01-17T09:16:30.854102,4400,oja_quant_b8,0.9407696998917364,0.08226669462431527,2.71485842234376,4800,8,invsqrt
2026-01-17T09:16:30.877328,4600,oja_quant_b8,0.9404011636389378,0.08286175464906645,2.713098102967169,4800,8,invsqrt
2026-01-17T09:16:30.901676,4800,oja_quant_b8,0.9402496415621349,0.08229098455580704,2.71478656734547,4800,8,invsqrt
2026-01-17T09:16:30.925781,5000,oja_quant_b8,0.9388574284660226,0.08147982995193512,2.7171861423584343,4800,8,invsqrt
2026-01-17T09:16:30.950483,5200,oja_quant_b8,0.939436127854019,0.08252367039489748,2.714098231086652,4800,8,invsqrt
2026-01-17T09:16:30.974899,5400,oja_quant_b8,0.9394916228184862,0.08244572907545053,2.7143287987758815,4800,8,invsqrt
2026-01-17T09:16:30.998044,5600,oja_quant_b8,0.9406287241555281,0.0834159920824044,2.7114585458593883,4800,8,invsqrt
2026-01-17T09:16:31.021247,5800,oja_quant_b8,0.9411347575918511,0.0820167018746518,2.715597956278045,4800,8,invsqrt
2026-01-17T09:16:31.044146,6000,oja_quant_b8,0.9409489422032925,0.08253737509818614,2.7140576895383277,4800,8,invsqrt
2026-01-17T09:16:31.067499,6200,oja_quant_b8,0.9403923117497511,0.08120083105633985,2.7180114828981035,4800,8,invsqrt
2026-01-17T09:16:31.090861,6400,oja_quant_b8,0.9406273862524858,0.08140641191156117,2.7174033291861255,4800,8,invsqrt
2026-01-17T09:16:31.113787,6600,oja_quant_b8,0.9406150377075747,0.08103682613979409,2.7184966457731807,4800,8,invsqrt
2026-01-17T09:16:31.136620,6800,oja_quant_b8,0.9398650545671021,0.08148712063214705,2.7171645749112665,4800,8,invsqrt
2026-01-17T09:16:31.159532,7000,oja_quant_b8,0.9405041010159065,0.08068991339715231,2.7195228905173376,4800,8,invsqrt
2026-01-17T09:16:31.183490,7200,oja_quant_b8,0.9404587490411366,0.08011803637993503,2.7212146294219224,4800,8,invsqrt
2026-01-17T09:16:31.207135,7400,oja_quant_b8,0.9402876076356375,0.08054801384414112,2.719942660830088,4800,8,invsqrt
2026-01-17T09:16:31.230092,7600,oja_quant_b8,0.9401386280624434,0.08209142031456804,2.7153769225804307,4800,8,invsqrt
2026-01-17T09:16:31.253306,7800,oja_quant_b8,0.939030619870525,0.08218987130853783,2.715085682730464,4800,8,invsqrt
2026-01-17T09:16:31.276351,8000,oja_quant_b8,0.9388125938066116,0.08274421081823898,2.713445823658188,4800,8,invsqrt
2026-01-17T09:16:31.299534,8200,oja_quant_b8,0.9392763540853457,0.08275139602026967,2.713424568238847,4800,8,invsqrt
2026-01-17T09:16:31.322844,8400,oja_quant_b8,0.9392009100369206,0.08261277606264346,2.7138346367819213,4800,8,invsqrt
2026-01-17T09:16:31.345961,8600,oja_quant_b8,0.9395414491319943,0.08236402355115126,2.7145705018169464,4800,8,invsqrt
2026-01-17T09:16:31.369028,8800,oja_quant_b8,0.9384842430344575,0.0831688552057507,2.7121896314886498,4800,8,invsqrt
2026-01-17T09:16:31.392155,9000,oja_quant_b8,0.9389098586534905,0.08232476255526643,2.7146866445402438,4800,8,invsqrt
2026-01-17T09:16:31.415364,9200,oja_quant_b8,0.9388720905811091,0.08167976347728104,2.7165946946992783,4800,8,invsqrt
2026-01-17T09:16:31.438634,9400,oja_quant_b8,0.938919756511325,0.08118971584946671,2.718044364142381,4800,8,invsqrt
2026-01-17T09:16:31.461745,9600,oja_quant_b8,0.9394241369737154,0.08272706290980943,2.7134965509700915,4800,8,invsqrt
2026-01-17T09:16:31.484922,9800,oja_quant_b8,0.939830021151472,0.08170768690927571,2.7165120910015723,4800,8,invsqrt
2026-01-17T09:16:31.508105,10000,oja_quant_b8,0.9399864582391053,0.08158911951519623,2.71686283961944,4800,8,invsqrt
